PC1,PC2,PC3,breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
-0.02136817297616722,-0.009709328651251818,-0.00036245436021839787,50.0,G2,SA1044-A96147A-R23-C49,0.7847665223136356,-0.08843658706653364,-0.08094940885564196,-0.05973330832849266,-0.35709453802160557,0.0711244652353,0.075891,A96147A,277.68019300000003,236.0,0.0,261852,1340451,0.21037965327,2.7539477924589106,0.0,-0.1293445704183927,-0.08492862525853165,-0.1341130224558954,-38.15474327971897,0.024525399611119936,0.023577083473766938,1.6291238924642508,1.0962346605154565,165.297846,533736,2716584,2029824,2951936,holdout,235352,10032,35682
-0.004002579297590858,0.009918191173099063,0.011874545079809494,58.0,G2,SA1044-A96147A-R23-C51,0.7851485246150879,-0.06799383704498715,0.03202861339257964,0.0509604207407419,-0.15235418582688579,0.0766266082489,0.082271,A96147A,269.243542,229.0,1.0,303695,1485655,0.218966435625,2.73477280051563,0.0,-0.01516642666972948,-0.027185651122198822,-0.03899499728332331,-51.357365421733455,0.026365683164659565,0.019803896530726856,1.2687812690981772,0.9200593742580518,160.433338,618021,3007534,2204176,3221630,holdout,214096,10631,36224
-0.029220059484746375,-0.0003553283383216199,0.0037095510383784755,51.0,G1,SA1044-A96147A-R24-C08,0.8085249469935656,-0.10032953491663864,-0.12421029210143365,-0.10037345310602579,-0.17477889752709083,0.0799935946891,0.085311,A96147A,251.347593,216.0,0.0,325384,1581661,0.21986140196,2.722687721559781,0.0,-0.10901353458871205,-0.08719375821233442,-0.13296117281253533,-36.505012811810076,0.029398726841043804,0.024491620537830983,1.214093736808299,1.1387255427834408,145.717401,661393,3196582,2281560,3534442,holdout,337860,10625,33260
-0.020856428771017583,-0.005378906533846782,0.0037770488525494354,52.0,G1,SA1044-A96147A-R24-C09,0.8223475043619581,-0.09103176959263086,-0.1303957248911448,-0.10662478720223904,-0.12705905416339636,0.0803484841209,0.085743,A96147A,245.066568,211.0,0.0,339047,1618166,0.224594978225,2.73235578472446,0.0,-0.10947322383437398,-0.059549610058685,-0.12481275900345927,-37.36447699560459,0.02799711878176706,0.024095590573941412,1.1203889828499327,1.1202701402533637,140.827678,688873,3270319,2303836,3600894,holdout,330575,10779,33986
-0.023733288867004907,-0.007857528334417656,0.004264863378561489,51.0,G1,SA1044-A96147A-R24-C14,0.7987929561205585,-0.08768479051774655,-0.13555442412051236,-0.11337217080623958,-0.16204713721046715,0.081136557161,0.08651,A96147A,250.134107,214.0,0.0,339533,1619643,0.22389951014000006,2.7268772155978085,0.0,-0.11874475801372489,-0.07125900772587114,-0.12539716222761987,-35.98794752629483,0.028376859268997186,0.024529109815253938,1.1825601005611361,1.1403476930896577,145.67286299999995,690170,3274202,2321508,3597772,holdout,323570,11104,34915
-0.017345616400895644,0.002438940398855314,0.010601167024534048,45.0,G1,SA1044-A96147A-R24-C18,0.7937231655393305,-0.05644895750023152,-0.05352943135250597,-0.032821207249461026,-0.1207432205937308,0.07078033298,0.075195,A96147A,254.796067,218.0,0.0,269479,1371329,0.209801820698,2.7257492748952625,0.0,-0.06379059271371909,-0.06544272645786918,-0.10164521101659349,-42.45597998059942,0.022429097251222038,0.02254290263434289,1.1592328155008818,1.0478576856753843,147.644426,548076,2772893,1996756,3072208,holdout,299315,9118,30235
-0.03965473674478636,-0.0042910405166334395,0.011177192057082152,51.0,G1,SA1044-A96147A-R24-C19,0.7379311579745821,-0.09099474296066841,-0.14323918626520182,-0.12405752753726695,-0.3371655546048915,0.0659450664864,0.069775,A96147A,269.931632,231.0,0.0,263659,1258257,0.22526193248000004,2.720109571382533,0.0,-0.12925800833646722,-0.11276198677307066,-0.15307820154311022,-31.334646467876677,0.02279024847355999,0.026079669619539742,1.6312754845759434,1.21267296919696,157.985648,535803,2544358,1895547,2840284,holdout,295926,8485,27844
0.08684786718002953,0.09601996295342918,-0.09340975878495396,152.0,G2,SA1044-A96147A-R24-C46,0.8164328378489095,0.10757544078770714,0.36400660723429207,0.37134273962672415,0.25026808637181114,0.07855774254669999,0.084368,A96147A,267.937722,227.0,22.0,294629,1506106,0.210364805789,2.68111504995166,0.0,0.11402118800578144,0.28481752419185263,0.24120097147200772,-82.03167977925293,0.015080221142745723,0.008274144976211836,0.6433054541221113,0.3839126801860294,160.718006,598622,3046252,2223519,3269416,holdout,223164,9364,34039
-0.10523520504244482,0.018624780410500075,-0.002469778797261014,51.0,G2,SA1044-A96147A-R24-C53,0.4875188426605157,-0.15446566533366995,-0.17999413228199646,-0.16953145585360513,0.1098826607584949,0.0306845362418,0.031829,A96147A,343.5490200000001,295.0,8.0,114479,532947,0.231959554328,2.6374476313245245,0.0,-0.12558371395797197,-0.07055926808199313,-0.13284467759465063,-15.136856659620205,0.0129479447450282,0.032723595033154855,0.507191052855271,1.5222760866684801,206.159169,232882,1081155,887780,1173714,holdout,92559,3924,15260
-0.1029222181786092,0.0442089411105995,0.0071218061025100044,47.0,G1,SA1044-A96147A-R25-C12,0.7239418423170721,-0.15343062549690864,-0.19606879234067176,-0.1780165645782469,-0.3525333883288963,0.0588068968129,0.061803,A96147A,265.044486,228.0,0.0,200382,1088485,0.197618307446,2.5992587818240414,0.0,-0.17102024165977026,-0.12283653233993311,-0.18379995953645553,-28.204421820817522,0.023935321861892712,0.028928170408267617,1.7073489959476118,1.3454839979763176,153.078472,408061,2203475,1632922,2470588,holdout,267113,7297,26505
