breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G1,SA928-A73044A-R08-C07,0.2030324531380223,-0.28409655133959205,-0.22227164972066976,-0.2422780032035144,-0.1975795034566698,0.146757851732,0.161456,A73044A,230.316656,201.0,526474,3352035,0.159174121544,1.9191105381888496,4.45417134847457e-52,41.157544450973525,-0.009242116493249809,-0.004591198234186691,-0.6676935707782566,-0.8069490634393902,125.377297,1080299,6787392,5286395,7450474,training,663082,27351,83321
8.0,G1,SA928-A73044A-R08-C09,0.4347752073483222,-0.24472575219354264,-0.1284226470368562,-0.15816920369691692,0.10439843685297596,0.114944638906,0.122554,A73044A,207.738044,182.0,500037,2739080,0.184568682041,1.9081533999355462,1.9746679947664925e-251,78.26943930534013,-0.0035762131827033364,-0.0015986854648550985,0.12051269164620045,-0.32540373945139256,110.673764,1023359,5545074,4075890,6040030,training,494956,23285,66914
1.0,G1,SA928-A73044A-R08-C11,0.13008682857846238,-0.39136439111331744,-0.34884907575967494,-0.3689409570669408,-0.2944080344763913,0.0903119696104,0.095293,A73044A,224.584348,196.0,365441,2039180,0.180955098234,1.9191105381888496,4.08933207622597e-22,13.473882874933272,-0.007511787274317606,-0.006852631036558659,-0.9122099498476146,-1.171352406382086,121.761096,746431,4125273,3167961,4524338,training,399065,15549,46912
1.0,G1,SA928-A73044A-R08-C12,0.26918734505514025,-0.3768212355462388,-0.29360559816041415,-0.318302329158284,-0.17066544948212725,0.107096679897,0.11375,A73044A,216.406429,190.0,433993,2469222,0.177683547885,1.9191105381888496,1.328388055792807e-91,41.44822050603364,-0.006810580411487367,-0.004628144663082364,-0.41450146678111266,-0.8132502623024253,115.883185,888042,4998179,3772590,5484982,training,486803,20056,59734
1.0,G1,SA928-A73044A-R08-C16,0.28890813282742583,-0.30741947915116563,-0.23031846292909308,-0.25481193948285114,-0.12979889811732154,0.115060450031,0.122742,A73044A,219.853742,192.0,517924,2697580,0.193861960257,1.9191105381888496,7.824689499451693e-106,51.800475846531796,-0.0061006509829721915,-0.0037470683102440038,-0.3411283885592314,-0.6712492235319844,118.796604,1057862,5457183,4139474,5960762,training,503579,22014,62022
1.0,G1,SA928-A73044A-R08-C17,0.18422985396794664,-0.3571959438547397,-0.30122088997387303,-0.32214188654311116,-0.26355784925422293,0.106671064744,0.113424,A73044A,227.408416,199.0,484514,2463033,0.198426189189,1.9191105381888496,4.90304727635268e-43,26.56055993176771,-0.007841332649732382,-0.005837543173251517,-0.8279322928743021,-1.007911980857438,123.670035,988082,4979888,3847675,5467502,training,487614,19054,53821
1.0,G1,SA928-A73044A-R08-C18,0.13736800838629518,-0.2949633125453209,-0.25378851436205796,-0.2716117971681383,-0.2650944399751621,0.12216855951,0.132433,A73044A,242.910535,212.0,456959,2718757,0.16992545531199998,1.9191105381888496,1.6973375210658112e-24,26.375012375606136,-0.008829894869054071,-0.005811093025756364,-1.0046586558603883,-1.003652835436897,133.82676899999998,934582,5500460,4385787,6038330,training,537870,20664,62945
1.0,G1,SA928-A73044A-R08-C19,0.15941296989630147,-0.3434300435581824,-0.29495406020535064,-0.3149796672082443,-0.22765478942732353,0.10988490287999997,0.116945,A73044A,222.353417,194.0,476623,2548079,0.188964603746,1.9191105381888496,1.6120403701990645e-32,27.530376902357606,-0.008052026912370088,-0.005712018919108148,-0.682566111257173,-0.9878710166753336,120.575458,974883,5159417,3934481,5671832,training,512415,21637,63258
1.0,G2,SA928-A73044A-R08-C21,0.11631465521013955,-0.24858589490967076,-0.21031053366651398,-0.2255430036301896,-0.21884305237156476,0.126981624339,0.137873,A73044A,241.999877,211.0,495030,2841491,0.176047417854,1.9191105381888496,5.730820258657593e-18,18.5744709488036,-0.009923587918159631,-0.0063767712648939885,-1.0941082008172813,-1.0936018938865477,133.171333,1011350,5745009,4580035,6263616,training,518607,21290,62027
347.0,S,SA928-A73044A-R08-C22,0.49574684088426885,0.19657764497553468,0.28485894325252115,0.2722405903790886,0.2644670266621461,0.093623687684,0.099988,A73044A,254.027417,221.0,363774,2032785,0.180235370218,3.6401869158878504,0.0,97.883298772837,0.008262586263541065,0.003984431671872289,0.6298259297907909,0.608963952474523,142.70181200000005,740004,4106042,3314910,4427074,training,321032,12456,40472
184.0,S,SA928-A73044A-R08-C24,0.5496567962333798,0.24841461430702447,0.3757719797018213,0.36539467181049623,0.3773098015426969,0.128023038535,0.139558,A73044A,239.66249900000003,208.0,533808,2914035,0.184637560828,1.882533032549146,0.0,239.76825112634526,0.014926238350171123,0.011880075589450076,2.031178305532939,1.8502472926919218,133.462753,1086912,5887113,4633045,6317316,training,430203,19296,59042
271.0,G2,SA928-A73044A-R08-C25,0.20829276700425128,-0.2948994884132761,-0.2679591734446332,-0.28873089232081206,-0.262922518936954,0.140862597573,0.154319,A73044A,236.089683,206.0,578877,3237736,0.180745620392,5.9766355140186915,9.748820403451442e-55,10.856951863557152,-0.010523198358250769,-0.001641722890003371,-0.26686538884387145,-0.28578684150875644,128.928868,1183468,6548132,5161871,7156796,training,608664,25714,72659
347.0,G2,SA928-A73044A-R08-C32,0.3942019059808631,0.10264110154286762,0.13888096996280808,0.12476762380386612,0.11848769291788468,0.0931859424772,0.099632,A73044A,251.428427,219.0,356660,2033590,0.177003961706,3.6714469867869806,3.7784594502860525e-203,70.02331369847676,0.004025606044221152,0.0017227729783909009,0.25846455773677784,0.24456564250270885,140.135605,727815,4112117,3320530,4454146,training,342029,14495,44937
291.0,G2,SA928-A73044A-R08-C34,0.3629652036528131,-0.03575001973584013,0.030436229575018497,0.012203295161609133,0.03434470035743837,0.110848442826,0.119463,A73044A,234.947831,206.0,404918,2450091,0.16669171789999998,4.90783113116339,5.4455601781369365e-170,40.707747175038406,-0.0023520730531954533,0.00026547719934931133,0.057262775843042235,0.017250001507728242,127.201113,825038,4949857,3902351,5349902,training,400045,15202,49674
168.0,G2,SA928-A73044A-R08-C35,0.17736949502658125,-0.3018442982403171,-0.2742691618436376,-0.29386534780922985,-0.28416786787564224,0.139376172355,0.15241500000000002,A73044A,242.27539700000003,211.0,603310,3192596,0.190726486132,4.9321624234611665,5.720066717057942e-40,11.389998779722326,-0.011731371791142095,-0.002127395945726876,-0.3655874293029971,-0.36854766040258224,133.684092,1230086,6449897,5125911,6978082,training,528185,23466,64704
1.0,G1,SA928-A73044A-R08-C37,0.2649434694577611,-0.18065334557927396,-0.11475891897911375,-0.13398065415518226,-0.08153393447922143,0.126735864555,0.140692,A73044A,228.867463,199.0,581771,3039169,0.193352030686,1.9191105381888496,1.08071352919758e-88,63.15579283694953,-0.005536424866943393,-0.0027415795411904736,-0.3325687042619777,-0.5081897413974016,125.915699,1188734,6148465,4750539,6706644,training,558179,25192,70126
162.0,S,SA928-A73044A-R08-C40,0.6751912933678507,0.4303860873684742,0.5677587428142675,0.5613653854838031,0.573998312218288,0.116171113746,0.12543,A73044A,231.3787,202.0,480223,2646286,0.182894824426,1.971801482436352,0.0,399.61377922751245,0.025619734801299098,0.024843615270304556,4.168796941676627,3.937422187980905,127.150426,978132,5348276,4158671,5788856,training,440580,17686,55704
170.0,S,SA928-A73044A-R08-C43,0.691860634366284,0.43405562458992397,0.6045729384314913,0.5991846268110801,0.6140922566380842,0.131486689465,0.14315999999999998,A73044A,228.067231,199.0,562330,3051485,0.185808400271,1.9729294231388979,0.0,392.5419803515761,0.02745358935784682,0.024399346370318594,4.020214170349757,3.8676655337762305,125.164017,1146003,6168016,4754420,6658136,training,490120,21343,65045
102.0,S,SA928-A73044A-R08-C44,0.5812815424617538,0.37539138998048727,0.4746343171281319,0.4683538102501781,0.4729194412987971,0.103758743802,0.111306,A73044A,242.09154300000003,211.0,442430,2322213,0.191767143203,1.8720592974540766,0.0,338.8834255408017,0.018226829282179547,0.01985938423270381,3.3744068095990913,3.135085600145659,134.481564,899283,4689819,3718414,5050758,training,360939,14423,45392
237.0,S,SA928-A73044A-R08-C48,0.5815013756366378,0.23639998932016215,0.45272407392691993,0.44491003581272426,0.45397785586662315,0.1186985458,0.128583,A73044A,238.582497,208.0,488387,2684542,0.18346161921300005,2.0109571382533034,0.0,267.1769845768062,0.011651280192506476,0.014584247650063588,2.488852680909943,2.2897568242028776,131.74529099999998,995208,5424994,4284693,5875432,training,450438,18434,55909
313.0,S,SA928-A73044A-R08-C49,0.6036351751615607,0.21061831357776176,0.4712234855971237,0.4630816409571687,0.46378442122736757,0.0968288281345,0.103429,A73044A,248.540661,216.0,384485,2116696,0.182996476277,2.0820174025136966,0.0,274.4337282142185,0.007759715119466065,0.015325422336608413,2.56419417133734,2.4107508354477423,138.034891,782510,4276444,3444654,4627908,training,351464,13540,43051
182.0,S,SA928-A73044A-R08-C50,0.6846129537601681,0.41957014061741554,0.5846894661171924,0.578769641901231,0.5933286224271916,0.121043351947,0.130936,A73044A,229.445686,200.0,504417,2776340,0.183231522207,1.9921044150821785,0.0,415.7507825732449,0.027451529949652182,0.02622151603773126,4.343921936348554,4.159829515586954,126.208002,1028410,5613008,4339987,6056556,training,443548,19576,60328
140.0,S,SA928-A73044A-R08-C51,0.6833972688320792,0.44686341396169255,0.5644358996407279,0.5574085655545103,0.582382198342414,0.130369484596,0.141832,A73044A,223.731288,196.0,545219,3032614,0.181414414429,1.986142442797293,0.0,401.2594868930697,0.030721681367215228,0.02500793006634985,4.006618280179474,3.9636856658019783,120.996311,1112777,6134270,4711416,6676832,training,542562,22339,69042
342.0,S,SA928-A73044A-R08-C52,0.6334078874806222,0.3385535703732985,0.5435120120373846,0.538096046254349,0.5353980452008302,0.0669231932156,0.07042899999999999,A73044A,253.940712,221.0,255439,1429597,0.179786599725,3.1263293586851435,0.0,243.7083073056925,0.012567784429340693,0.015145910955983721,2.5025177266931937,2.401385032926929,142.380484,519485,2889688,2339928,3153198,training,263510,8607,30493
1.0,G1,SA928-A73044A-R09-C03,0.0252624977548493,-0.38565912358091464,-0.35640906736137157,-0.3723329594105914,-0.37342816632071835,0.0693618315274,0.0739,A73044A,248.165034,215.0,249960,1505908,0.167498837019,1.9191105381888496,0.06148669642042217,-16.686509869039057,-0.0074409155315978024,-0.00933005301459171,-1.622852933414795,-1.5700051018895147,140.082741,510146,3046051,2433984,3310070,training,264019,10226,34235
1.0,G1,SA928-A73044A-R09-C05,0.05639790503599091,-0.23762214571382412,-0.23807699572857213,-0.25121114362902375,-0.2578255687773062,0.0612911116653,0.064049,A73044A,251.873612,219.0,237970,1318687,0.181805703897,1.867708669029971,2.9493614879595987e-05,0.21964487816886166,-0.005453178245795861,-0.008224975991262071,-1.4593255336992894,-1.394514068046443,141.435625,484750,2666529,2147651,2927514,training,260985,8810,29154
1.0,G1,SA928-A73044A-R09-C06,-0.021659951230348532,-0.37052307016584207,-0.357524870348932,-0.37154461955958307,-0.3616385562015243,0.07539057701989997,0.07904,A73044A,239.758876,209.0,278734,1637489,0.171791727073,1.9191105381888496,0.10888079991794165,-26.857214610223583,-0.008644653434977355,-0.010177018702964025,-1.7241137930006225,-1.7067240326776012,132.40923700000002,569222,3313653,2628132,3623114,training,309461,11754,38674
1.0,G1,SA928-A73044A-R09-C07,-0.022487613905758357,-0.37836879096168435,-0.36571168821347594,-0.3800690305975631,-0.3842840887299636,0.0867495894648,0.092357,A73044A,249.289826,217.0,259996,1829715,0.143784600076,1.9191105381888496,0.09600819819767975,-27.600273028876952,-0.010023410410625006,-0.010197376628775161,-1.778493968634914,-1.7101235386269675,137.66593799999998,532560,3704291,2998692,4065494,training,361203,12568,44861
1.0,G1,SA928-A73044A-R09-C08,-0.02135254467972348,-0.3129616645181622,-0.29958419215573956,-0.31157717996547,-0.3046103039980846,0.0515196660521,0.053584000000000014,A73044A,241.391361,210.0,195003,1113144,0.17669892913199994,1.9191105381888496,0.1139958667192739,-27.03125853305134,-0.00580879929912285,-0.010195743603815678,-1.7372903855562067,-1.7100393462880157,133.657624,397998,2252567,1788613,2473028,training,220461,7992,26278
1.0,G1,SA928-A73044A-R09-C10,-0.08160375363918226,-0.42326218294159446,-0.40726452731495566,-0.42029782065932975,-0.43492169548569765,0.0573338687596,0.059648,A73044A,256.312995,223.0,201757,1199627,0.169537958339,1.9191105381888496,1.4520960429019642e-09,-49.83646233158531,-0.007464693698582154,-0.012077456660292953,-2.134074876843694,-2.013110305476764,142.693579,411315,2426318,1982724,2655324,training,229006,7801,27064
1.0,G1,SA928-A73044A-R09-C14,0.10555205895029693,-0.36197194420703255,-0.3162397122288222,-0.33429908033585,-0.3214118061481227,0.0895556064518,0.09454,A73044A,239.417285,209.0,372101,1993516,0.188298957645,1.9191105381888496,4.732912565294102e-15,10.078352500321497,-0.007693048482911943,-0.0071404704925020135,-1.2077569888279704,-1.2175922732839024,131.835568,759274,4032599,3192872,4416492,training,383893,15072,45566
