PC1,PC2,PC3,breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads,new_cell_cycle_state,checked,corrected
-0.014517634407901204,0.0014107033308192365,-0.017093389231426132,1.0,G2,SA928-A90553C-R62-C29,0.4821274389273987,-0.14329088142255048,-0.1260283112873987,-0.1431586188378427,-0.3108056786029899,0.0404116015646,0.041985,A90553C,262.837409,225.0,0.0,97743,775063,0.127031030559,1.9191105381888496,0.0,-0.11857105229414693,-0.10272216270187358,-0.14364373240622322,21.20566737752421,0.0034397353659560105,0.004838219488651261,1.5847285661179489,1.3435316082023578,153.712335,198230,1560785,1270679,1740358,training,179573,2744,10658,G2,False,False
-0.001163122211033108,-0.005367307895893427,-0.016980308763690475,11.0,G2,SA928-A90553C-R62-C30,0.5768483542051825,0.05259285178337548,0.06858323131540599,0.053427250742875236,-0.0733497807698895,0.047495368555899996,0.049589999999999995,A90553C,258.558785,221.0,1.0,129798,936532,0.139703890538,1.898807605543023,0.0,-0.02017421520600124,0.10529366784545807,0.021970639090480845,-7.4858543235412975,0.002822058866293444,0.0035026600515831075,1.1710618103828043,0.9786292642859884,151.83741899999995,263481,1886397,1520923,2026606,training,140209,3885,13333,G2,False,False
-0.024556763395914557,-4.699737476274614e-05,-0.01927154161986902,1.0,G2,SA928-A90553C-R62-C31,0.29203646193190896,-0.3475226525133168,-0.3491669759256346,-0.3636919507110034,-0.4947333823265634,0.043628086320900004,0.045448,A90553C,262.59857999999997,225.0,0.0,117108,854390,0.138135899928,1.9191105381888496,3.3709421608292665e-108,-0.2739966631901138,-0.18746905382814752,-0.29131152896853474,57.371531272831476,0.004967120384319785,0.006414950580727129,2.001744069078496,1.7734475245005454,153.699491,237747,1721399,1400086,1872084,training,150685,3531,12619,G2,False,False
-0.017570346617404368,0.0011926147035596765,-0.01744227377622531,1.0,G2,SA928-A90553C-R62-C32,0.4526863764653953,-0.219432684178136,-0.2110019576556404,-0.2285840895637863,-0.4173518256415038,0.0419629342664,0.043625,A90553C,265.815621,228.0,0.0,109785,812867,0.135989705606,1.9191105381888496,3.9296302520858166e-275,-0.19987482665262685,-0.16103346859612025,-0.22057673452227547,31.137512935409166,0.0038810043293798367,0.005267576794366601,1.7324188841347663,1.4605548644588064,155.29245,222629,1637397,1340601,1775644,training,138247,3059,11662,G2,False,False
-0.012922617862415407,-0.0003128866686841345,-0.017227686079083943,1.0,G1,SA928-A90553C-R62-C37,0.4056119551438169,-0.19016140198396667,-0.18117891747528095,-0.1971126146625686,-0.14821961277712867,0.0459709834241,0.04829,A90553C,238.1226,205.0,0.0,119700,924605,0.130477775223,1.9191105381888496,4.031377113885661e-216,-0.1509630058666043,-0.06068177788498697,-0.12498733398068455,33.728967283569155,0.004505497346246603,0.005319645104362538,1.3626888681468765,1.4743013896744177,134.92424,242887,1861796,1464720,1976792,training,114996,3487,12586,G1,False,False
0.04367196501466206,-0.007223917035425658,-0.020613674611260745,89.0,S,SA928-A90553C-R62-C39,0.7103056207037538,0.39169036603346064,0.4757287882602978,0.4687050510291766,0.41971972559613496,0.041911531460000005,0.043495,A90553C,253.16368599999998,217.0,13.0,102783,808559,0.127705293774,1.8623912342893971,0.0,0.2326509487058432,0.3581824608939198,0.38501052920405815,-91.92644829786684,3.823342733344773e-06,-0.00027356984184019953,0.1006787950310238,-0.05173687572424431,147.525775,207710,1626949,1305734,1730672,training,103723,2144,9831,S,False,False
0.03530423083016788,-0.010386789738139541,-0.016674759569519568,63.0,S,SA928-A90553C-R62-C41,0.6049366003426956,0.2256014498530596,0.329460807730838,0.3213151546074113,0.3346167658838447,0.0433935919531,0.045179000000000004,A90553C,241.359942,207.0,8.0,114835,865741,0.13359325832,1.8886561392201096,0.0,0.14810656491250593,0.3208511628150294,0.31143327292292755,-48.2870066878652,0.001601512086901767,0.001523799396189871,0.3926769778493962,0.4374573691805319,139.677409,232808,1743067,1368852,1897748,training,154681,3138,11585,S,False,False
0.010600167134784505,-0.02386279001468945,-0.01872228648105245,51.0,S,SA928-A90553C-R62-C44,0.4505848732858338,0.038216137471777836,0.05955344844707707,0.04885503654966266,0.02351043464890594,0.044216992597900004,0.045991000000000004,A90553C,247.616469,212.0,6.0,121993,876725,0.13995171929199998,1.887205929745408,3.69216268477575e-271,-0.06497055762528038,0.23374279579383184,0.08505347099285507,5.761489300998488,0.0030626624598931985,0.003830213271021157,1.1018508581823478,1.0656017512837417,144.099071,246924,1764680,1402378,1895692,training,131012,2938,11230,S,False,False
0.043374270085817235,-0.010789708531779836,-0.009763212660817205,66.0,S,SA928-A90553C-R62-C45,0.663426108017876,0.3255363824503652,0.4462898925223988,0.4396883819641568,0.28433693836358576,0.0252419006561,0.025917000000000003,A90553C,288.754726,249.0,18.0,60759,462887,0.131711649024,1.9268449887205932,0.0,0.2146438377204312,0.3831749808096788,0.3968326661693757,-80.78645621214388,0.0003386025503230433,3.521889463827287e-05,0.4409163725281124,0.03135552441472182,169.136851,122623,931254,785762,1112402,training,181148,1105,5480,S,False,False
0.03242807569108819,0.027228538598312417,0.003214690148943575,201.0,S,SA928-A90553C-R62-C46,0.6902656758362152,0.34831745842345085,0.4057031503932814,0.3952582384499321,0.4173820936860298,0.047256195652300007,0.049257999999999996,A90553C,240.84482599999998,206.0,75.0,141043,959827,0.147772972408,2.0053174347405736,0.0,0.4477873389495188,0.2749669876348551,0.4534886818022452,-95.8486411900317,-2.7735056020690987e-05,-0.0004016173320942767,-0.14330080276193558,-0.08564677239562808,139.514364,285474,1932329,1514664,2103254,training,170925,3388,12675,S,False,False
0.049616192369957714,0.02074112274959761,-0.006624812223012891,78.0,S,SA928-A90553C-R62-C47,0.7235987152091164,0.4425848015713145,0.5250830233970357,0.5181970489300501,0.5129633094540575,0.0393414497866,0.040833999999999995,A90553C,244.78021099999998,210.0,22.0,97889,771454,0.12757292282500002,1.9373187238156624,0.0,0.4277107137638654,0.36082522388124577,0.5204246983446675,-117.91567713197537,-0.0005990298388916693,-0.0013632261252459821,-0.3158074036561617,-0.3479550330746519,142.13120800000004,198056,1552807,1226466,1700346,training,147539,2278,9898,S,False,False
